| Campus        | Club                         | Membership Level              | Membership Description                                                                                                         |
| East Bay      | Walnut Creek                 | Executive Club North Bay      | See Executive Club North Bay above                                                                                              |
| East Bay      | Walnut Creek                 | Executive Club South Bay      | See Executive Club South Bay above                                                                                              |
| East Bay      | Walnut Creek                 | Single Site                   | See Single Site above                                                                                                           |
| San Francisco | Financial District           | Club West Gold                | See Club West Gold above                                                                                                        |
| San Francisco | Financial District           | Executive Club North Bay      | See Executive Club North Bay above                                                                                              |
| San Francisco | Financial District           | Executive Club South Bay      | See Executive Club South Bay above                                                                                              |
| San Francisco | Financial District           | Single Site                   | See Single Site above                                                                                                           |
| San Francisco | Gateway                      | Club West Gold                | See Club West Gold above                                                                                                        |
| San Francisco | Gateway                      | Executive Club North Bay      | See Executive Club North Bay above                                                                                              |
| San Francisco | San Francisco                | Club West Gold                | See Club West Gold above                                                                                                        |
| San Francisco | San Francisco                | Executive Club North Bay      | See Executive Club North Bay above                                                                                              |
| San Francisco | San Francisco                | Executive Club South Bay      | See Executive Club South Bay above                                                                                              |
| San Francisco | South San Francisco          | Club West Gold                | See Club West Gold above                                                                                                        |
| San Francisco | South San Francisco          | Executive Club North Bay      | See Executive Club North Bay above                                                                                              |
| San Francisco | South San Francisco          | Executive Club South Bay      | See Executive Club South Bay above                                                                                              |
| Peninsula     | Broadway Tennis              | Club West Gold                | See Club West Gold above                                                                                                        |
| Peninsula     | Broadway Tennis              | Executive Club South Bay      | See Executive Club South Bay above                                                                                              |
| Peninsula     | Redwood Shores               | Club West Gold                | See Club West Gold above                                                                                                        |
| Peninsula     | Redwood Shores               | Executive Club South Bay      | See Executive Club South Bay above                                                                                              |
| Oregon        | Portland                     | Club West Gold                | See Club West Gold above                                                                                                        |
| Oregon        | Portland                     | Single Site                   | See Single Site above                                                                                                           |
| Los Angeles   | El Segundo                   | Club West Gold                | See Club West Gold above                                                                                                        |
| Los Angeles   | El Segundo                   | Executive Club LA             | Ideal for individuals and families with varied interests, this versatile membership offers fitness, aquatics, basketball, and social at our Los Angeles clubs up and down the coast. |
| Los Angeles   | El Segundo                   | Executive Club Southern CA    | Includes fitness access to San Diego Campus, Los Angeles Campus, and Bay Club Financial District. Members will experience Fitness, Aquatics, Basketball, Group Fitness Programs, Social Programming, Mind-Body Programs, Family amenities, and more. |
| Los Angeles   | Redondo Beach                | Club West Gold                | See Club West Gold above                                                                                                        |
| Los Angeles   | Redondo Beach                | Executive Club LA             | See Executive Club LA above                                                                                                     |
| Los Angeles   | Redondo Beach                | Executive Club Southern CA    | See Executive Club Southern CA above                                                                                             |
| Los Angeles   | Santa Monica                 | Club West Gold                | See Club West Gold above                                                                                                        |
| Los Angeles   | Santa Monica                 | Executive Club LA             | See Executive Club LA above                                                                                                     |
| Los Angeles   | Santa Monica                 | Executive Club Southern CA    | See Executive Club Southern CA above                                                                                             |
| Los Angeles   | Santa Monica                 | Single Site                   | See Single Site above                                                                                                           |
| Santa Clara   | Santa Clara                  | Club West Gold                | See Club West Gold above                                                                                                        |
| Santa Clara   | Santa Clara                  | Executive Club South Bay      | See Executive Club South Bay above                                                                                              |
| Santa Clara   | Santa Clara                  | Santa Clara Campus            | Sitting on 8 acres, our expansive sports resort in the heart of Silicon Valley features fitness, aquatics, basketball, pickleball, group fitness programs, social programming, and more. |
| San Diego     | Carmel Valley                | Club West Gold                | See Club West Gold above                                                                                                        |
| San Diego     | Carmel Valley                | Executive Club Southern CA    | See Executive Club Southern CA above                                                                                             |
| San Diego     | Fairbanks Ranch Country Club | Club West Gold                | See Club West Gold above                                                                                                        |
| Washington    | PRO Club Seattle             | Club West Gold                | See Club West Gold above                                                                                                        |
| Washington    | PRO Club Seattle             | Single Site                   | See Single Site above                                                                                                           |
| Washington    | PRO Club Seattle             | Campus                        | Athletic club access to PRO Club Bellevue. Enjoy access to 12,000 sq/ft free weight center, 4 fitness centers, 4 indoor pools, 4 basketball courts, 9 squash courts, and more. |
| Washington    | PRO Club Bellevue            | Club West Gold                | See Club West Gold above                                                                                                        |
| Washington    | PRO Club Bellevue            | Single Site                   | See Single Site above                                                                                                           |
| Washington    | PRO Club Bellevue            | Campus                        | See Campus above                                                                                                                |
| Marin         | Marin                        | Club West Gold                | See Club West Gold above                                                                                                        |
| Marin         | Marin                        | Executive Club North Bay      | See Executive Club North Bay above                                                                                              |
| Marin         | StoneTree Golf Club          | Club West Gold                | See Club West Gold above                                                                                                        |
| Marin         | StoneTree Golf Club          | Executive Club North Bay      | See Executive Club North Bay above                                                                                              |
| Marin         | Rolling Hills                | Club West Gold                | See Club West Gold above                                                                                                        |
| Marin         | Rolling Hills                | Executive Club North Bay      | See Executive Club North Bay above                                                                                              |
| Marin         | Rolling Hills                | Single Site                   | See Single Site above                                                                                                           |
| Marin         | Ross Valley                  | Club West Gold                | See Club West Gold above                                                                                                        |
